Date,Time,Hour,Day_of_Week,Month,Day_Type,Peak_Hour,Train_ID,Origin_Station,Destination_Station,Route,Passenger_Count,Ticket_Type,Class_Type,Total_Capacity,Available_Seats,Temperature,Rainfall,Weather_Condition,Holiday,Event_Name
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Galle,Colombo Fort → Galle,143,Reserved,3rd Class,500,357,27,0,Cloudy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Galle,Colombo Fort → Galle,315,Reserved,2nd Class,500,185,28,0,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Galle,Colombo Fort → Galle,326,Unreserved,2nd Class,500,174,30,13,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Galle,Colombo Fort → Galle,212,Reserved,1st Class,500,288,31,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Galle,Colombo Fort → Galle,360,Unreserved,1st Class,500,140,32,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Galle,Colombo Fort → Galle,202,Reserved,3rd Class,500,298,26,2,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Galle,Colombo Fort → Galle,323,Reserved,3rd Class,500,177,27,16,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Galle,Colombo Fort → Galle,297,Unreserved,1st Class,500,203,26,0,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Galle,Colombo Fort → Galle,293,Unreserved,3rd Class,500,207,29,0,Sunny,Yes,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Galle,Colombo Fort → Galle,331,Unreserved,1st Class,500,169,28,10,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Galle,Colombo Fort → Galle,201,Reserved,3rd Class,500,299,29,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Galle,Colombo Fort → Galle,366,Reserved,3rd Class,500,134,30,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Galle,Colombo Fort → Galle,317,Unreserved,3rd Class,500,183,26,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Galle,Colombo Fort → Galle,94,Unreserved,1st Class,500,406,28,20,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Galle,Colombo Fort → Galle,437,Unreserved,1st Class,500,63,30,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Galle,Colombo Fort → Galle,146,Reserved,1st Class,500,354,27,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Galle,Colombo Fort → Galle,330,Reserved,1st Class,500,170,26,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Galle,Colombo Fort → Galle,314,Unreserved,3rd Class,500,186,29,7,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Galle,Colombo Fort → Galle,170,Unreserved,2nd Class,500,330,31,20,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Galle,Colombo Fort → Galle,434,Reserved,3rd Class,500,66,29,0,Sunny,Yes,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Galle,Colombo Fort → Galle,163,Reserved,2nd Class,500,337,32,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Galle,Colombo Fort → Galle,295,Reserved,2nd Class,500,205,28,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Galle,Colombo Fort → Galle,352,Unreserved,1st Class,500,148,27,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Jaffna,Colombo Fort → Jaffna,194,Unreserved,2nd Class,500,306,32,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Jaffna,Colombo Fort → Jaffna,303,Reserved,3rd Class,500,197,29,1,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Jaffna,Colombo Fort → Jaffna,127,Unreserved,2nd Class,500,373,28,20,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Jaffna,Colombo Fort → Jaffna,276,Unreserved,2nd Class,500,224,30,16,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Jaffna,Colombo Fort → Jaffna,335,Reserved,1st Class,500,165,26,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Jaffna,Colombo Fort → Jaffna,188,Reserved,2nd Class,500,312,32,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Jaffna,Colombo Fort → Jaffna,346,Unreserved,1st Class,500,154,31,5,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Jaffna,Colombo Fort → Jaffna,208,Unreserved,2nd Class,500,292,31,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Jaffna,Colombo Fort → Jaffna,304,Reserved,1st Class,500,196,29,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Jaffna,Colombo Fort → Jaffna,405,Reserved,1st Class,500,95,31,0,Sunny,Yes,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Jaffna,Colombo Fort → Jaffna,180,Reserved,2nd Class,500,320,27,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Jaffna,Colombo Fort → Jaffna,294,Unreserved,1st Class,500,206,28,17,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Jaffna,Colombo Fort → Jaffna,184,Reserved,1st Class,500,316,30,1,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Jaffna,Colombo Fort → Jaffna,334,Unreserved,1st Class,500,166,28,8,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Jaffna,Colombo Fort → Jaffna,353,Reserved,3rd Class,500,147,31,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Jaffna,Colombo Fort → Jaffna,178,Unreserved,1st Class,500,322,28,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Jaffna,Colombo Fort → Jaffna,354,Reserved,2nd Class,500,146,26,7,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Jaffna,Colombo Fort → Jaffna,193,Reserved,1st Class,500,307,26,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Jaffna,Colombo Fort → Jaffna,313,Unreserved,2nd Class,500,187,28,9,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Jaffna,Colombo Fort → Jaffna,357,Unreserved,3rd Class,500,143,29,7,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Jaffna,Colombo Fort → Jaffna,202,Reserved,2nd Class,500,298,29,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Jaffna,Colombo Fort → Jaffna,400,Reserved,2nd Class,500,100,26,0,Sunny,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Jaffna,Colombo Fort → Jaffna,242,Unreserved,1st Class,500,258,28,0,Cloudy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Jaffna,Colombo Fort → Jaffna,329,Reserved,1st Class,500,171,27,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Jaffna,Colombo Fort → Jaffna,321,Reserved,2nd Class,500,179,28,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Negombo,Colombo Fort → Negombo,189,Reserved,1st Class,500,311,32,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Negombo,Colombo Fort → Negombo,330,Unreserved,1st Class,500,170,32,13,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Negombo,Colombo Fort → Negombo,143,Reserved,1st Class,500,357,26,9,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Negombo,Colombo Fort → Negombo,335,Unreserved,3rd Class,500,165,28,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Negombo,Colombo Fort → Negombo,299,Reserved,1st Class,500,201,27,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Negombo,Colombo Fort → Negombo,101,Unreserved,1st Class,500,399,32,16,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Negombo,Colombo Fort → Negombo,318,Unreserved,3rd Class,500,182,26,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Negombo,Colombo Fort → Negombo,246,Unreserved,3rd Class,500,254,30,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Negombo,Colombo Fort → Negombo,284,Reserved,1st Class,500,216,27,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Negombo,Colombo Fort → Negombo,316,Reserved,2nd Class,500,184,29,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Negombo,Colombo Fort → Negombo,172,Reserved,3rd Class,500,328,32,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Negombo,Colombo Fort → Negombo,404,Unreserved,3rd Class,500,96,28,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Negombo,Colombo Fort → Negombo,241,Reserved,1st Class,500,259,31,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Negombo,Colombo Fort → Negombo,331,Unreserved,3rd Class,500,169,32,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Negombo,Colombo Fort → Negombo,389,Reserved,1st Class,500,111,26,6,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Negombo,Colombo Fort → Negombo,208,Reserved,3rd Class,500,292,30,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Negombo,Colombo Fort → Negombo,402,Unreserved,2nd Class,500,98,30,0,Sunny,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Negombo,Colombo Fort → Negombo,175,Reserved,3rd Class,500,325,29,15,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Negombo,Colombo Fort → Negombo,375,Reserved,1st Class,500,125,26,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Negombo,Colombo Fort → Negombo,313,Unreserved,2nd Class,500,187,27,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Negombo,Colombo Fort → Negombo,145,Reserved,3rd Class,500,355,28,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Negombo,Colombo Fort → Negombo,290,Reserved,1st Class,500,210,31,6,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Negombo,Colombo Fort → Negombo,160,Reserved,2nd Class,500,340,28,0,Cloudy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Negombo,Colombo Fort → Negombo,342,Reserved,3rd Class,500,158,29,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Negombo,Colombo Fort → Negombo,363,Reserved,3rd Class,500,137,31,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,169,Reserved,1st Class,500,331,27,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,364,Reserved,1st Class,500,136,28,16,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,125,Unreserved,1st Class,500,375,28,12,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,287,Reserved,1st Class,500,213,29,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,301,Unreserved,2nd Class,500,199,28,1,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,219,Unreserved,1st Class,500,281,26,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,344,Unreserved,3rd Class,500,156,28,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,178,Unreserved,1st Class,500,322,31,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,420,Unreserved,1st Class,500,80,29,2,Rainy,Yes,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,335,Reserved,3rd Class,500,165,30,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,169,Unreserved,2nd Class,500,331,28,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,309,Reserved,2nd Class,500,191,27,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,174,Unreserved,1st Class,500,326,29,12,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,276,Unreserved,2nd Class,500,224,30,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,320,Unreserved,3rd Class,500,180,31,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,154,Unreserved,2nd Class,500,346,30,0,Cloudy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,351,Reserved,3rd Class,500,149,29,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,179,Unreserved,3rd Class,500,321,27,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,304,Unreserved,2nd Class,500,196,27,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,358,Unreserved,1st Class,500,142,28,13,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,223,Unreserved,1st Class,500,277,26,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,366,Unreserved,1st Class,500,134,28,14,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,176,Unreserved,2nd Class,500,324,29,9,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,384,Reserved,3rd Class,500,116,32,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Anuradhapura,Colombo Fort → Anuradhapura,368,Reserved,1st Class,500,132,32,0,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T101,Colombo Fort,Matara,Colombo Fort → Matara,190,Unreserved,3rd Class,500,310,29,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Matara,Colombo Fort → Matara,321,Unreserved,3rd Class,500,179,30,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T101,Colombo Fort,Matara,Colombo Fort → Matara,237,Reserved,1st Class,500,263,30,7,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Matara,Colombo Fort → Matara,363,Reserved,2nd Class,500,137,31,1,Rainy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T101,Colombo Fort,Matara,Colombo Fort → Matara,289,Unreserved,3rd Class,500,211,30,4,Rainy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T102,Colombo Fort,Matara,Colombo Fort → Matara,172,Unreserved,1st Class,500,328,32,2,Rainy,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Matara,Colombo Fort → Matara,330,Unreserved,2nd Class,500,170,26,0,Sunny,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T102,Colombo Fort,Matara,Colombo Fort → Matara,136,Unreserved,3rd Class,500,364,29,6,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Matara,Colombo Fort → Matara,368,Unreserved,1st Class,500,132,26,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T102,Colombo Fort,Matara,Colombo Fort → Matara,338,Unreserved,2nd Class,500,162,32,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T201,Colombo Fort,Matara,Colombo Fort → Matara,134,Unreserved,1st Class,500,366,32,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Matara,Colombo Fort → Matara,324,Reserved,2nd Class,500,176,30,0,Sunny,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T201,Colombo Fort,Matara,Colombo Fort → Matara,223,Unreserved,2nd Class,500,277,32,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Matara,Colombo Fort → Matara,299,Unreserved,2nd Class,500,201,32,0,Cloudy,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T201,Colombo Fort,Matara,Colombo Fort → Matara,356,Unreserved,2nd Class,500,144,28,0,Cloudy,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T202,Colombo Fort,Matara,Colombo Fort → Matara,197,Reserved,3rd Class,500,303,32,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Matara,Colombo Fort → Matara,321,Reserved,3rd Class,500,179,31,0,Cloudy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T202,Colombo Fort,Matara,Colombo Fort → Matara,187,Reserved,3rd Class,500,313,32,0,Sunny,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Matara,Colombo Fort → Matara,338,Reserved,1st Class,500,162,27,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T202,Colombo Fort,Matara,Colombo Fort → Matara,346,Unreserved,1st Class,500,154,32,0,Sunny,No,
2025-01-01,06:00,6,Wednesday,January,Weekday,No,T301,Colombo Fort,Matara,Colombo Fort → Matara,219,Unreserved,2nd Class,500,281,29,0,Sunny,No,
2025-01-01,08:00,8,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Matara,Colombo Fort → Matara,354,Reserved,3rd Class,500,146,29,1,Rainy,No,
2025-01-01,12:00,12,Wednesday,January,Weekday,No,T301,Colombo Fort,Matara,Colombo Fort → Matara,155,Unreserved,1st Class,500,345,31,17,Rainy,No,
2025-01-01,17:00,17,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Matara,Colombo Fort → Matara,373,Unreserved,3rd Class,500,127,27,0,Sunny,No,
2025-01-01,19:00,19,Wednesday,January,Weekday,Yes,T301,Colombo Fort,Matara,Colombo Fort → Matara,344,Unreserved,2nd Class,500,156,28,0,Sunny,No,
2025-01-02,06:00,6,Thursday,January,Weekday,No,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,198,Reserved,2nd Class,500,302,31,5,Rainy,No,
2025-01-02,08:00,8,Thursday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,291,Unreserved,2nd Class,500,209,29,3,Rainy,No,
2025-01-02,12:00,12,Thursday,January,Weekday,No,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,175,Unreserved,2nd Class,500,325,29,0,Sunny,No,
2025-01-02,17:00,17,Thursday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,307,Unreserved,2nd Class,500,193,29,0,Sunny,No,
2025-01-02,19:00,19,Thursday,January,Weekday,Yes,T101,Colombo Fort,Kandy,Colombo Fort → Kandy,301,Reserved,1st Class,500,199,26,0,Cloudy,No,
