date,route,train_type,class,base_capacity,predicted_demand,allocated_seats,actual_tickets_sold,seat_utilization_pct
2024-01-05,Colombo Fort - Negombo,Intercity,2nd Class,225,170,270,225,62.96
2024-01-05,Colombo Fort - Negombo,Intercity,3rd Class,487,348,453,487,76.82
2024-01-05,Colombo Fort - Ratnapura,Express,1st Class,45,35,54,37,64.81
2024-01-05,Colombo Fort - Ratnapura,Express,2nd Class,270,224,324,224,69.14
2024-01-05,Colombo Fort - Ratnapura,Express,3rd Class,585,501,522,474,95.98
2024-01-05,Colombo Fort - Vavuniya,Express,1st Class,45,36,54,30,66.67
2024-01-05,Colombo Fort - Vavuniya,Express,2nd Class,270,218,324,182,67.28
2024-01-05,Colombo Fort - Vavuniya,Express,3rd Class,585,475,522,407,91.0
2024-01-05,Kandy - Badulla,Intercity,1st Class,37,30,44,37,68.18
2024-01-05,Kandy - Badulla,Intercity,2nd Class,225,168,270,225,62.22
2024-01-05,Kandy - Badulla,Intercity,3rd Class,487,368,435,473,84.6
2024-01-05,Maradana - Avissawella,Intercity,1st Class,37,30,44,27,68.18
2024-01-05,Maradana - Avissawella,Intercity,2nd Class,225,168,270,192,62.22
2024-01-05,Maradana - Avissawella,Intercity,3rd Class,487,380,435,346,87.36
2024-01-06,Colombo Fort - Badulla,Slow/Local,1st Class,25,20,30,20,66.67
2024-01-06,Colombo Fort - Badulla,Slow/Local,2nd Class,150,123,180,113,68.33
2024-01-06,Colombo Fort - Badulla,Slow/Local,3rd Class,325,264,290,267,91.03
2024-01-06,Colombo Fort - Batticaloa,Slow/Local,1st Class,25,18,18,21,100.0
2024-01-06,Colombo Fort - Batticaloa,Slow/Local,2nd Class,150,126,180,122,70.0
2024-01-06,Colombo Fort - Batticaloa,Slow/Local,3rd Class,325,257,302,261,85.1
2024-01-06,Colombo Fort - Kandy,Night Mail,1st Class,32,28,38,29,73.68
2024-01-06,Colombo Fort - Kandy,Night Mail,2nd Class,195,158,234,178,67.52
2024-01-06,Colombo Fort - Kandy,Night Mail,3rd Class,422,353,377,381,93.63
2024-01-06,Colombo Fort - Kurunegala,Night Mail,1st Class,32,28,38,30,73.68
2024-01-06,Colombo Fort - Kurunegala,Night Mail,2nd Class,195,170,234,195,72.65
2024-01-06,Colombo Fort - Kurunegala,Night Mail,3rd Class,422,350,377,406,92.84
2024-01-06,Colombo Fort - Matara,Slow/Local,1st Class,25,18,18,23,100.0
2024-01-06,Colombo Fort - Matara,Slow/Local,2nd Class,150,115,180,144,63.89
2024-01-06,Colombo Fort - Matara,Slow/Local,3rd Class,325,254,302,286,84.11
2024-01-06,Colombo Fort - Puttalam,Intercity,1st Class,37,28,44,37,63.64
2024-01-06,Colombo Fort - Puttalam,Intercity,2nd Class,225,169,270,225,62.59
2024-01-06,Colombo Fort - Puttalam,Intercity,3rd Class,487,389,435,487,89.43
2024-01-06,Kandy - Badulla,Slow/Local,1st Class,25,19,30,23,63.33
2024-01-06,Kandy - Badulla,Slow/Local,2nd Class,150,125,180,131,69.44
2024-01-06,Kandy - Badulla,Slow/Local,3rd Class,325,260,290,279,89.66
2024-01-06,Maradana - Avissawella,Intercity,1st Class,37,29,44,33,65.91
2024-01-06,Maradana - Avissawella,Intercity,2nd Class,225,168,270,198,62.22
2024-01-06,Maradana - Avissawella,Intercity,3rd Class,487,385,435,438,88.51
2024-01-06,Maradana - Avissawella,Slow/Local,1st Class,25,17,18,17,94.44
2024-01-06,Maradana - Avissawella,Slow/Local,2nd Class,150,120,180,107,66.67
2024-01-06,Maradana - Avissawella,Slow/Local,3rd Class,325,255,302,214,84.44
2024-01-07,Colombo Fort - Anuradhapura,Slow/Local,1st Class,25,20,30,23,66.67
2024-01-07,Colombo Fort - Anuradhapura,Slow/Local,2nd Class,150,124,180,140,68.89
2024-01-07,Colombo Fort - Anuradhapura,Slow/Local,3rd Class,325,265,290,268,91.38
2024-01-07,Colombo Fort - Batticaloa,Express,1st Class,45,34,54,43,62.96
2024-01-07,Colombo Fort - Batticaloa,Express,2nd Class,270,222,324,236,68.52
2024-01-07,Colombo Fort - Batticaloa,Express,3rd Class,585,454,522,501,86.97
2024-01-07,Colombo Fort - Batticaloa,Intercity,1st Class,37,27,44,37,61.36
2024-01-07,Colombo Fort - Batticaloa,Intercity,2nd Class,225,159,270,221,58.89
2024-01-07,Colombo Fort - Batticaloa,Intercity,3rd Class,487,361,435,487,82.99
2024-01-07,Colombo Fort - Jaffna,Intercity,1st Class,37,30,44,33,68.18
2024-01-07,Colombo Fort - Jaffna,Intercity,2nd Class,225,163,270,184,60.37
2024-01-07,Colombo Fort - Jaffna,Intercity,3rd Class,487,389,435,403,89.43
2024-01-07,Colombo Fort - Kandy,Express,1st Class,45,36,54,41,66.67
2024-01-07,Colombo Fort - Kandy,Express,2nd Class,270,227,324,238,70.06
2024-01-07,Colombo Fort - Kandy,Express,3rd Class,585,464,522,489,88.89
2024-01-07,Colombo Fort - Kurunegala,Express,1st Class,45,33,54,33,61.11
2024-01-07,Colombo Fort - Kurunegala,Express,2nd Class,270,222,324,215,68.52
2024-01-07,Colombo Fort - Kurunegala,Express,3rd Class,585,484,522,428,92.72
2024-01-07,Colombo Fort - Matara,Express,1st Class,45,36,54,34,66.67
2024-01-07,Colombo Fort - Matara,Express,2nd Class,270,226,324,206,69.75
2024-01-07,Colombo Fort - Matara,Express,3rd Class,585,480,522,439,91.95
2024-01-07,Colombo Fort - Vavuniya,Slow/Local,1st Class,25,20,30,18,66.67
2024-01-07,Colombo Fort - Vavuniya,Slow/Local,2nd Class,150,130,180,104,72.22
2024-01-07,Colombo Fort - Vavuniya,Slow/Local,3rd Class,325,265,290,234,91.38
2024-01-07,Kandy - Badulla,Night Mail,1st Class,32,28,38,31,73.68
2024-01-07,Kandy - Badulla,Night Mail,2nd Class,195,174,234,195,74.36
2024-01-07,Kandy - Badulla,Night Mail,3rd Class,422,337,377,422,89.39
2024-01-07,Kandy - Badulla,Slow/Local,1st Class,25,21,30,22,70.0
2024-01-07,Kandy - Badulla,Slow/Local,2nd Class,150,129,180,127,71.67
2024-01-07,Kandy - Badulla,Slow/Local,3rd Class,325,278,290,294,95.86
2024-01-08,Colombo Fort - Anuradhapura,Slow/Local,1st Class,25,20,30,17,66.67
2024-01-08,Colombo Fort - Anuradhapura,Slow/Local,2nd Class,150,113,180,120,62.78
2024-01-08,Colombo Fort - Anuradhapura,Slow/Local,3rd Class,325,254,290,233,87.59
2024-01-08,Colombo Fort - Galle,Express,1st Class,45,32,32,39,100.0
2024-01-08,Colombo Fort - Galle,Express,2nd Class,270,200,324,221,61.73
2024-01-08,Colombo Fort - Galle,Express,3rd Class,585,411,544,536,75.55
2024-01-08,Colombo Fort - Galle,Slow/Local,1st Class,25,19,30,25,63.33
2024-01-08,Colombo Fort - Galle,Slow/Local,2nd Class,150,107,180,150,59.44
2024-01-08,Colombo Fort - Galle,Slow/Local,3rd Class,325,251,290,324,86.55
2024-01-08,Colombo Fort - Jaffna,Express,1st Class,45,34,54,33,62.96
2024-01-08,Colombo Fort - Jaffna,Express,2nd Class,270,207,324,210,63.89
2024-01-08,Colombo Fort - Jaffna,Express,3rd Class,585,416,522,434,79.69
2024-01-08,Colombo Fort - Jaffna,Intercity,1st Class,37,27,44,27,61.36
2024-01-08,Colombo Fort - Jaffna,Intercity,2nd Class,225,181,270,174,67.04
2024-01-08,Colombo Fort - Jaffna,Intercity,3rd Class,487,348,435,364,80.0
2024-01-08,Colombo Fort - Kandy,Express,1st Class,45,32,32,34,100.0
2024-01-08,Colombo Fort - Kandy,Express,2nd Class,270,195,324,218,60.19
2024-01-08,Colombo Fort - Kandy,Express,3rd Class,585,415,544,521,76.29
2024-01-08,Colombo Fort - Kurunegala,Intercity,1st Class,37,26,26,26,100.0
2024-01-08,Colombo Fort - Kurunegala,Intercity,2nd Class,225,178,270,159,65.93
2024-01-08,Colombo Fort - Kurunegala,Intercity,3rd Class,487,349,453,314,77.04
2024-01-08,Colombo Fort - Kurunegala,Slow/Local,1st Class,25,20,30,22,66.67
2024-01-08,Colombo Fort - Kurunegala,Slow/Local,2nd Class,150,117,180,116,65.0
2024-01-08,Colombo Fort - Kurunegala,Slow/Local,3rd Class,325,257,290,261,88.62
2024-01-08,Colombo Fort - Negombo,Slow/Local,1st Class,25,20,30,17,66.67
2024-01-08,Colombo Fort - Negombo,Slow/Local,2nd Class,150,117,180,115,65.0
2024-01-08,Colombo Fort - Negombo,Slow/Local,3rd Class,325,257,290,238,88.62
2024-01-08,Colombo Fort - Puttalam,Intercity,1st Class,37,26,26,31,100.0
2024-01-08,Colombo Fort - Puttalam,Intercity,2nd Class,225,181,270,196,67.04
2024-01-08,Colombo Fort - Puttalam,Intercity,3rd Class,487,355,453,407,78.37
2024-01-08,Colombo Fort - Puttalam,Slow/Local,1st Class,25,20,30,17,66.67
2024-01-08,Colombo Fort - Puttalam,Slow/Local,2nd Class,150,116,180,101,64.44
2024-01-08,Colombo Fort - Puttalam,Slow/Local,3rd Class,325,251,290,204,86.55
2024-01-08,Kandy - Badulla,Night Mail,1st Class,32,24,38,32,63.16
2024-01-08,Kandy - Badulla,Night Mail,2nd Class,195,153,234,187,65.38
2024-01-08,Kandy - Badulla,Night Mail,3rd Class,422,319,377,422,84.62
2024-01-08,Maradana - Avissawella,Slow/Local,1st Class,25,18,18,13,100.0
2024-01-08,Maradana - Avissawella,Slow/Local,2nd Class,150,106,180,77,58.89
2024-01-08,Maradana - Avissawella,Slow/Local,3rd Class,325,236,302,191,78.15
2024-01-09,Colombo Fort - Badulla,Slow/Local,1st Class,25,19,30,21,63.33
2024-01-09,Colombo Fort - Badulla,Slow/Local,2nd Class,150,106,180,135,58.89
2024-01-09,Colombo Fort - Badulla,Slow/Local,3rd Class,325,249,290,288,85.86
2024-01-09,Colombo Fort - Batticaloa,Express,1st Class,45,34,54,18,62.96
2024-01-09,Colombo Fort - Batticaloa,Express,2nd Class,270,202,324,136,62.35
2024-01-09,Colombo Fort - Batticaloa,Express,3rd Class,585,437,522,284,83.72
2024-01-09,Colombo Fort - Kandy,Express,1st Class,45,33,54,32,61.11
2024-01-09,Colombo Fort - Kandy,Express,2nd Class,270,195,324,190,60.19
2024-01-09,Colombo Fort - Kandy,Express,3rd Class,585,432,522,394,82.76
2024-01-09,Colombo Fort - Kurunegala,Night Mail,1st Class,32,24,38,27,63.16
2024-01-09,Colombo Fort - Kurunegala,Night Mail,2nd Class,195,155,234,158,66.24
2024-01-09,Colombo Fort - Kurunegala,Night Mail,3rd Class,422,331,377,377,87.8
2024-01-09,Colombo Fort - Matara,Slow/Local,1st Class,25,19,30,16,63.33
2024-01-09,Colombo Fort - Matara,Slow/Local,2nd Class,150,115,180,107,63.89
2024-01-09,Colombo Fort - Matara,Slow/Local,3rd Class,325,248,290,245,85.52
2024-01-09,Colombo Fort - Negombo,Intercity,1st Class,37,25,26,36,96.15
2024-01-09,Colombo Fort - Negombo,Intercity,2nd Class,225,162,270,207,60.0
2024-01-09,Colombo Fort - Negombo,Intercity,3rd Class,487,351,453,428,77.48
2024-01-09,Colombo Fort - Ratnapura,Intercity,1st Class,37,26,26,32,100.0
2024-01-09,Colombo Fort - Ratnapura,Intercity,2nd Class,225,176,270,198,65.19
2024-01-09,Colombo Fort - Ratnapura,Intercity,3rd Class,487,383,453,438,84.55
2024-01-09,Kandy - Badulla,Intercity,1st Class,37,27,44,29,61.36
2024-01-09,Kandy - Badulla,Intercity,2nd Class,225,170,270,169,62.96
2024-01-09,Kandy - Badulla,Intercity,3rd Class,487,366,435,371,84.14
2024-01-09,Maradana - Avissawella,Intercity,1st Class,37,26,26,17,100.0
2024-01-09,Maradana - Avissawella,Intercity,2nd Class,225,161,270,100,59.63
2024-01-09,Maradana - Avissawella,Intercity,3rd Class,487,369,453,267,81.46
2024-01-10,Colombo Fort - Anuradhapura,Express,1st Class,45,34,54,39,62.96
2024-01-10,Colombo Fort - Anuradhapura,Express,2nd Class,270,204,324,236,62.96
2024-01-10,Colombo Fort - Anuradhapura,Express,3rd Class,585,449,522,507,86.02
2024-01-10,Colombo Fort - Anuradhapura,Night Mail,1st Class,32,25,38,24,65.79
2024-01-10,Colombo Fort - Anuradhapura,Night Mail,2nd Class,195,155,234,144,66.24
2024-01-10,Colombo Fort - Anuradhapura,Night Mail,3rd Class,422,314,377,355,83.29
2024-01-10,Colombo Fort - Batticaloa,Express,1st Class,45,35,54,29,64.81
2024-01-10,Colombo Fort - Batticaloa,Express,2nd Class,270,206,324,202,63.58
2024-01-10,Colombo Fort - Batticaloa,Express,3rd Class,585,449,522,415,86.02
2024-01-10,Colombo Fort - Batticaloa,Slow/Local,1st Class,25,19,30,20,63.33
2024-01-10,Colombo Fort - Batticaloa,Slow/Local,2nd Class,150,115,180,129,63.89
2024-01-10,Colombo Fort - Batticaloa,Slow/Local,3rd Class,325,247,290,288,85.17
2024-01-10,Colombo Fort - Galle,Slow/Local,1st Class,25,20,30,21,66.67
2024-01-10,Colombo Fort - Galle,Slow/Local,2nd Class,150,113,180,145,62.78
2024-01-10,Colombo Fort - Galle,Slow/Local,3rd Class,325,249,290,297,85.86
2024-01-10,Colombo Fort - Negombo,Slow/Local,1st Class,25,19,30,25,63.33
2024-01-10,Colombo Fort - Negombo,Slow/Local,2nd Class,150,114,180,149,63.33
2024-01-10,Colombo Fort - Negombo,Slow/Local,3rd Class,325,246,290,318,84.83
2024-01-10,Colombo Fort - Puttalam,Intercity,1st Class,37,27,44,26,61.36
2024-01-10,Colombo Fort - Puttalam,Intercity,2nd Class,225,173,270,144,64.07
2024-01-10,Colombo Fort - Puttalam,Intercity,3rd Class,487,351,435,327,80.69
2024-01-10,Colombo Fort - Vavuniya,Intercity,1st Class,37,27,44,31,61.36
2024-01-10,Colombo Fort - Vavuniya,Intercity,2nd Class,225,176,270,191,65.19
2024-01-10,Colombo Fort - Vavuniya,Intercity,3rd Class,487,364,435,429,83.68
2024-01-10,Maradana - Avissawella,Express,1st Class,45,34,54,23,62.96
2024-01-10,Maradana - Avissawella,Express,2nd Class,270,202,324,113,62.35
2024-01-10,Maradana - Avissawella,Express,3rd Class,585,415,522,272,79.5
2024-01-10,Maradana - Avissawella,Slow/Local,1st Class,25,18,18,19,100.0
2024-01-10,Maradana - Avissawella,Slow/Local,2nd Class,150,110,180,108,61.11
2024-01-10,Maradana - Avissawella,Slow/Local,3rd Class,325,226,302,244,74.83
2024-01-11,Colombo Fort - Badulla,Intercity,1st Class,37,27,44,32,61.36
2024-01-11,Colombo Fort - Badulla,Intercity,2nd Class,225,177,270,192,65.56
2024-01-11,Colombo Fort - Badulla,Intercity,3rd Class,487,365,435,460,83.91
2024-01-11,Colombo Fort - Galle,Slow/Local,1st Class,25,19,30,22,63.33
2024-01-11,Colombo Fort - Galle,Slow/Local,2nd Class,150,114,180,135,63.33
2024-01-11,Colombo Fort - Galle,Slow/Local,3rd Class,325,250,290,258,86.21
2024-01-11,Colombo Fort - Kandy,Slow/Local,1st Class,25,20,30,21,66.67
