date,actual_demand,predicted_demand
2024-06-05,7948,6153
2024-06-06,6400,6498
2024-06-07,3369,6443
2024-06-08,4745,6085
2024-06-09,5615,6064
2024-06-10,8188,6070
2024-06-11,6300,6389
2024-06-12,7436,6270
2024-06-13,4896,6428
2024-06-14,4326,6134
2024-06-15,6886,5989
2024-06-16,7000,6182
2024-06-17,6436,6329
2024-06-18,6310,6396
2024-06-19,4388,6398
2024-06-20,5938,6104
2024-06-21,6916,6179
2024-06-22,5837,6381
2024-06-23,5334,6331
2024-06-24,7720,6241
2024-06-25,8012,6464
2024-06-26,3091,6627
2024-06-27,4626,6078
2024-06-28,5158,6043
2024-06-29,3217,6037
2024-06-30,4309,5660
2024-07-01,8161,5533
2024-07-02,5848,5997
2024-07-03,4364,5899
2024-07-04,3714,5735
2024-07-05,5380,5491
2024-07-06,4568,5521
2024-07-07,5585,5403
2024-07-08,6061,5486
2024-07-09,6709,5537
2024-07-10,5795,5668
2024-07-11,6491,5740
2024-07-12,5360,5903
2024-07-13,7414,5851
2024-07-14,5181,6185
2024-07-15,8081,6054
2024-07-16,6828,6362
2024-07-17,6613,6381
2024-07-18,4881,6468
2024-07-19,5959,6320
2024-07-20,5448,6383
2024-07-21,7817,6331
2024-07-22,6406,6623
2024-07-23,5606,6551
2024-07-24,7816,6439
2024-07-25,10265,6697
2024-07-26,8996,7123
2024-07-27,7412,7209
2024-07-28,8902,7137
2024-07-29,7175,7386
2024-07-30,4899,7250
2024-07-31,3133,6974
2024-08-01,5420,6591
2024-08-02,4009,6665
2024-08-03,6726,6391
2024-08-04,7702,6610
2024-08-05,5326,6744
2024-08-06,6445,6500
2024-08-07,5341,6567
2024-08-08,6970,6365
2024-08-09,2184,6415
2024-08-10,5467,5738
2024-08-11,5545,5809
2024-08-12,5714,5739
2024-08-13,5737,5748
2024-08-14,5369,5801
2024-08-15,3998,5826
2024-08-16,4587,5605
2024-08-17,2869,5567
2024-08-18,3767,5177
2024-08-19,6543,4971
2024-08-20,5529,5280
2024-08-21,5161,5285
2024-08-22,5639,5287
2024-08-23,5133,5335
2024-08-24,5276,5401
2024-08-25,5140,5417
2024-08-26,6159,5408
2024-08-27,8624,5555
2024-08-28,6316,6010
2024-08-29,7880,5995
2024-08-30,7803,6327
2024-08-31,8278,6521
2024-09-01,4799,6794
2024-09-02,8502,6532
2024-09-03,4388,6920
2024-09-04,7077,6532
2024-09-05,5014,6779
2024-09-06,6231,6554
2024-09-07,8330,6640
2024-09-08,6918,6934
2024-09-09,4712,6885
2024-09-10,6024,6604
2024-09-11,4659,6582
2024-09-12,6141,6352
2024-09-13,3940,6386
2024-09-14,3174,6026
2024-09-15,4989,5653
2024-09-16,5244,5686
2024-09-17,6172,5608
2024-09-18,4160,5764
2024-09-19,4682,5495
2024-09-20,5404,5444
2024-09-21,6914,5459
2024-09-22,6283,5627
2024-09-23,6105,5672
2024-09-24,5179,5764
2024-09-25,4509,5694
2024-09-26,5656,5599
2024-09-27,4647,5676
2024-09-28,2490,5605
2024-09-29,3917,5257
2024-09-30,6091,5157
2024-10-01,4332,5380
2024-10-02,7394,5216
2024-10-03,3398,5631
2024-10-04,6256,5287
2024-10-05,4517,5508
2024-10-06,5889,5322
2024-10-07,6065,5438
2024-10-08,5380,5533
2024-10-09,5740,5539
2024-10-10,4524,5634
2024-10-11,6848,5507
2024-10-12,4904,5802
2024-10-13,5890,5738
2024-10-14,4552,5864
2024-10-15,6227,5692
2024-10-16,6046,5874
2024-10-17,5835,5879
2024-10-18,5015,5950
2024-10-19,8255,5837
2024-10-20,4336,6276
2024-10-21,6640,5941
2024-10-22,3165,6135
2024-10-23,5065,5726
2024-10-24,4563,5753
2024-10-25,3221,5660
2024-10-26,6181,5328
2024-10-27,7225,5570
2024-10-28,5156,5821
2024-10-29,4565,5722
2024-10-30,6804,5579
2024-10-31,6557,5805
2024-11-01,5668,5898
2024-11-02,7616,5886
2024-11-03,6885,6115
2024-11-04,3819,6224
2024-11-05,2911,5891
2024-11-06,5351,5627
2024-11-07,10564,5737
2024-11-08,4792,6543
2024-11-09,4277,6187
2024-11-10,7485,6002
2024-11-11,6271,6280
2024-11-12,5827,6268
2024-11-13,4087,6266
2024-11-14,3890,5979
2024-11-15,6159,5757
2024-11-16,5081,5922
2024-11-17,6610,5779
2024-11-18,6620,5939
2024-11-19,6150,6080
2024-11-20,6713,6155
2024-11-21,6510,6261
2024-11-22,6754,6191
2024-11-23,9850,6312
2024-11-24,4033,6838
2024-11-25,3630,6307
2024-11-26,4825,6071
2024-11-27,2784,6034
2024-11-28,8706,5681
2024-11-29,6582,6345
2024-11-30,10774,6287
2024-12-01,3642,6934
2024-12-02,9249,6290
2024-12-03,4874,6842
2024-12-04,2049,6458
2024-12-05,7799,5939
2024-12-06,6978,6399
2024-12-07,4048,6430
2024-12-08,5991,6031
2024-12-09,4024,6182
2024-12-10,4424,5953
2024-12-11,6382,5854
2024-12-12,4068,6085
2024-12-13,7582,5725
2024-12-14,5112,6059
2024-12-15,9259,5755
2024-12-16,6160,6356
2024-12-17,7589,6141
2024-12-18,6709,6406
2024-12-19,5712,6498
2024-12-20,5470,6378
2024-12-21,6680,6304
2024-12-22,8945,6475
2024-12-23,5672,6844
2024-12-24,2872,6641
2024-12-25,4868,6232
2024-12-26,6489,6202
2024-12-27,4423,6382
2024-12-28,7373,6087
2024-12-29,7910,6389
2024-12-30,8082,6490
2024-12-31,6592,6649
