date,class,predicted_demand,actual_demand
2024-02-22,2nd Class,1527,1262
2024-02-22,3rd Class,3315,2851
2024-02-23,1st Class,335,304
2024-02-23,2nd Class,2053,1840
2024-02-23,3rd Class,4268,3951
2024-02-24,1st Class,162,163
2024-02-24,2nd Class,971,978
2024-02-24,3rd Class,2082,2091
2024-02-25,1st Class,173,169
2024-02-25,2nd Class,1039,1034
2024-02-25,3rd Class,2220,2249
2024-02-26,1st Class,165,167
2024-02-26,2nd Class,993,1009
2024-02-26,3rd Class,2057,2111
2024-02-27,1st Class,247,224
2024-02-27,2nd Class,1525,1399
2024-02-27,3rd Class,3185,3031
2024-02-28,1st Class,105,110
2024-02-28,2nd Class,693,668
2024-02-28,3rd Class,1389,1351
2024-02-29,1st Class,237,230
2024-02-29,2nd Class,1461,1315
2024-02-29,3rd Class,3030,2909
2024-03-01,1st Class,67,65
2024-03-01,2nd Class,394,396
2024-03-01,3rd Class,842,824
2024-03-02,1st Class,210,244
2024-03-02,2nd Class,1286,1445
2024-03-02,3rd Class,2741,3026
2024-03-03,1st Class,60,65
2024-03-03,2nd Class,354,389
2024-03-03,3rd Class,720,860
2024-03-04,1st Class,234,277
2024-03-04,2nd Class,1382,1667
2024-03-04,3rd Class,2986,3633
2024-03-05,1st Class,232,268
2024-03-05,2nd Class,1436,1537
2024-03-05,3rd Class,3081,3430
2024-03-06,1st Class,284,346
2024-03-06,2nd Class,1722,2104
2024-03-06,3rd Class,3795,4604
2024-03-07,1st Class,199,231
2024-03-07,2nd Class,1210,1371
2024-03-07,3rd Class,2647,3058
2024-03-08,1st Class,243,244
2024-03-08,2nd Class,1474,1494
2024-03-08,3rd Class,3189,3115
2024-03-09,1st Class,244,246
2024-03-09,2nd Class,1473,1486
2024-03-09,3rd Class,3193,3246
2024-03-10,1st Class,293,299
2024-03-10,2nd Class,1757,1779
2024-03-10,3rd Class,3799,3779
2024-03-11,1st Class,294,270
2024-03-11,2nd Class,1732,1602
2024-03-11,3rd Class,3777,3562
2024-03-12,1st Class,428,466
2024-03-12,2nd Class,2543,2770
2024-03-12,3rd Class,5594,6281
2024-03-13,1st Class,144,165
2024-03-13,2nd Class,873,1018
2024-03-13,3rd Class,1951,2179
2024-03-14,1st Class,182,196
2024-03-14,2nd Class,1092,1142
2024-03-14,3rd Class,2278,2595
2024-03-15,1st Class,282,303
2024-03-15,2nd Class,1709,1861
2024-03-15,3rd Class,3724,4032
2024-03-16,1st Class,296,326
2024-03-16,2nd Class,1797,1987
2024-03-16,3rd Class,3857,4258
2024-03-17,1st Class,321,348
2024-03-17,2nd Class,1866,2128
2024-03-17,3rd Class,4185,4596
2024-03-18,1st Class,327,332
2024-03-18,2nd Class,1959,1993
2024-03-18,3rd Class,4305,4242
2024-03-19,1st Class,240,268
2024-03-19,2nd Class,1428,1597
2024-03-19,3rd Class,3097,3505
2024-03-20,1st Class,293,322
2024-03-20,2nd Class,1786,1935
2024-03-20,3rd Class,3762,4145
2024-03-21,1st Class,175,183
2024-03-21,2nd Class,1032,1025
2024-03-21,3rd Class,2224,2321
2024-03-22,1st Class,225,200
2024-03-22,2nd Class,1363,1155
2024-03-22,3rd Class,2966,2560
2024-03-23,1st Class,241,238
2024-03-23,2nd Class,1463,1409
2024-03-23,3rd Class,3169,3102
2024-03-24,1st Class,133,129
2024-03-24,2nd Class,800,790
2024-03-24,3rd Class,1752,1655
2024-03-25,1st Class,318,342
2024-03-25,2nd Class,1852,2080
2024-03-25,3rd Class,4118,4545
2024-03-26,1st Class,281,283
2024-03-26,2nd Class,1585,1668
2024-03-26,3rd Class,3558,3553
2024-03-27,1st Class,262,293
2024-03-27,2nd Class,1527,1758
2024-03-27,3rd Class,3440,3809
2024-03-28,1st Class,214,224
2024-03-28,2nd Class,1250,1291
2024-03-28,3rd Class,2737,2929
2024-03-29,1st Class,316,316
2024-03-29,2nd Class,1921,1991
2024-03-29,3rd Class,4167,4210
2024-03-30,1st Class,311,314
2024-03-30,2nd Class,1904,1924
2024-03-30,3rd Class,4095,4144
2024-03-31,1st Class,243,270
2024-03-31,2nd Class,1470,1625
2024-03-31,3rd Class,3204,3511
2024-04-01,1st Class,216,235
2024-04-01,2nd Class,1271,1419
2024-04-01,3rd Class,2743,3018
2024-04-02,1st Class,268,282
2024-04-02,2nd Class,1592,1705
2024-04-02,3rd Class,3481,3665
2024-04-03,1st Class,397,424
2024-04-03,2nd Class,2329,2593
2024-04-03,3rd Class,5077,5635
2024-04-04,1st Class,305,319
2024-04-04,2nd Class,1818,1929
2024-04-04,3rd Class,3934,4165
2024-04-05,1st Class,275,283
2024-04-05,2nd Class,1636,1680
2024-04-05,3rd Class,3603,3575
2024-04-06,1st Class,78,82
2024-04-06,2nd Class,459,484
2024-04-06,3rd Class,1013,1072
2024-04-07,1st Class,361,362
2024-04-07,2nd Class,2182,2209
2024-04-07,3rd Class,4807,4678
2024-04-08,1st Class,313,336
2024-04-08,2nd Class,1854,2064
2024-04-08,3rd Class,4110,4397
2024-04-09,1st Class,235,256
2024-04-09,2nd Class,1405,1568
2024-04-09,3rd Class,3088,3330
2024-04-10,1st Class,207,211
2024-04-10,2nd Class,1245,1296
2024-04-10,3rd Class,2777,2756
2024-04-11,1st Class,293,308
2024-04-11,2nd Class,1791,1849
2024-04-11,3rd Class,3850,4018
2024-04-12,1st Class,384,383
2024-04-12,2nd Class,2305,2310
2024-04-12,3rd Class,5088,4915
2024-04-13,1st Class,297,310
2024-04-13,2nd Class,1789,1867
2024-04-13,3rd Class,3939,4083
2024-04-14,1st Class,293,309
2024-04-14,2nd Class,1778,1852
2024-04-14,3rd Class,3905,3997
2024-04-15,1st Class,354,361
2024-04-15,2nd Class,2090,2168
2024-04-15,3rd Class,4667,4718
2024-04-16,1st Class,283,306
2024-04-16,2nd Class,1651,1816
2024-04-16,3rd Class,3631,3995
2024-04-17,1st Class,200,213
2024-04-17,2nd Class,1161,1300
2024-04-17,3rd Class,2601,2743
2024-04-18,1st Class,383,392
2024-04-18,2nd Class,2283,2344
2024-04-18,3rd Class,4992,5076
2024-04-19,1st Class,273,266
2024-04-19,2nd Class,1667,1631
2024-04-19,3rd Class,3673,3426
2024-04-20,1st Class,135,141
2024-04-20,2nd Class,829,833
2024-04-20,3rd Class,1775,1822
2024-04-21,1st Class,164,172
2024-04-21,2nd Class,993,1014
2024-04-21,3rd Class,2166,2213
2024-04-22,1st Class,240,226
2024-04-22,2nd Class,1400,1402
2024-04-22,3rd Class,3110,2966
2024-04-23,1st Class,245,246
2024-04-23,2nd Class,1449,1536
2024-04-23,3rd Class,3215,3299
2024-04-24,1st Class,304,324
2024-04-24,2nd Class,1792,1992
2024-04-24,3rd Class,3934,4255
2024-04-25,1st Class,180,182
2024-04-25,2nd Class,1060,1098
2024-04-25,3rd Class,2334,2359
2024-04-26,1st Class,256,245
2024-04-26,2nd Class,1579,1465
2024-04-26,3rd Class,3405,3257
2024-04-27,1st Class,425,435
2024-04-27,2nd Class,2580,2662
2024-04-27,3rd Class,5597,5816
2024-04-28,1st Class,475,494
2024-04-28,2nd Class,2889,2988
2024-04-28,3rd Class,6271,6530
2024-04-29,1st Class,292,303
2024-04-29,2nd Class,1765,1826
2024-04-29,3rd Class,3817,3975
2024-04-30,1st Class,174,178
2024-04-30,2nd Class,1030,1067
2024-04-30,3rd Class,2253,2372
2024-05-01,1st Class,224,236
2024-05-01,2nd Class,1347,1440
2024-05-01,3rd Class,2970,3158
2024-05-02,1st Class,348,370
2024-05-02,2nd Class,2076,2206
2024-05-02,3rd Class,4431,4799
2024-05-03,1st Class,170,151
2024-05-03,2nd Class,1031,926
2024-05-03,3rd Class,2190,2054
2024-05-04,1st Class,342,358
2024-05-04,2nd Class,2083,2168
2024-05-04,3rd Class,4530,4667
2024-05-05,1st Class,147,136
2024-05-05,2nd Class,901,791
2024-05-05,3rd Class,1985,1751
2024-05-06,1st Class,335,355
2024-05-06,2nd Class,2014,2156
2024-05-06,3rd Class,4386,4718
2024-05-07,1st Class,106,106
2024-05-07,2nd Class,624,645
2024-05-07,3rd Class,1375,1412
2024-05-08,1st Class,285,315
2024-05-08,2nd Class,1731,1838
2024-05-08,3rd Class,3829,3914
2024-05-09,1st Class,285,291
2024-05-09,2nd Class,1713,1792
2024-05-09,3rd Class,3749,3829
2024-05-10,1st Class,268,257
2024-05-10,2nd Class,1634,1573
2024-05-10,3rd Class,3564,3383
2024-05-11,1st Class,152,164
2024-05-11,2nd Class,926,961
2024-05-11,3rd Class,1980,2136
2024-05-12,1st Class,218,233
2024-05-12,2nd Class,1327,1421
2024-05-12,3rd Class,2850,3072
2024-05-13,1st Class,384,410
2024-05-13,2nd Class,2288,2464
2024-05-13,3rd Class,5008,5311
2024-05-14,1st Class,313,342
2024-05-14,2nd Class,1906,2087
2024-05-14,3rd Class,4105,4511
2024-05-15,1st Class,228,228
2024-05-15,2nd Class,1383,1327
2024-05-15,3rd Class,3049,2951
2024-05-16,1st Class,281,296
2024-05-16,2nd Class,1719,1810
2024-05-16,3rd Class,3728,3784
2024-05-17,1st Class,202,199
2024-05-17,2nd Class,1240,1213
2024-05-17,3rd Class,2657,2566
2024-05-18,1st Class,393,408
2024-05-18,2nd Class,2397,2434
2024-05-18,3rd Class,5180,5349
2024-05-19,1st Class,197,203
2024-05-19,2nd Class,1177,1214
2024-05-19,3rd Class,2559,2598
2024-05-20,1st Class,259,278
2024-05-20,2nd Class,1580,1702
2024-05-20,3rd Class,3389,3803
2024-05-21,1st Class,257,287
2024-05-21,2nd Class,1544,1749
2024-05-21,3rd Class,3317,3738
2024-05-22,1st Class,164,167
2024-05-22,2nd Class,989,1031
2024-05-22,3rd Class,2110,2295
2024-05-23,1st Class,275,306
2024-05-23,2nd Class,1777,1862
2024-05-23,3rd Class,3569,3916
2024-05-24,1st Class,194,194
2024-05-24,2nd Class,1158,1137
2024-05-24,3rd Class,2526,2526
2024-05-25,1st Class,190,194
2024-05-25,2nd Class,1162,1190
2024-05-25,3rd Class,2471,2560
2024-05-26,1st Class,299,312
2024-05-26,2nd Class,1787,1851
2024-05-26,3rd Class,3878,4113
2024-05-27,1st Class,347,366
2024-05-27,2nd Class,2093,2209
2024-05-27,3rd Class,4540,4750
2024-05-28,1st Class,384,381
2024-05-28,2nd Class,2339,2259
2024-05-28,3rd Class,4985,4895
2024-05-29,1st Class,319,350
2024-05-29,2nd Class,1923,2087
2024-05-29,3rd Class,4155,4508
2024-05-30,1st Class,406,421
2024-05-30,2nd Class,2450,2520
2024-05-30,3rd Class,5148,5541
2024-05-31,1st Class,219,230
2024-05-31,2nd Class,1353,1402
2024-05-31,3rd Class,2918,2969
2024-06-01,1st Class,359,388
2024-06-01,2nd Class,2201,2324
2024-06-01,3rd Class,4791,5031
2024-06-02,1st Class,227,234
2024-06-02,2nd Class,1366,1434
2024-06-02,3rd Class,2935,3031
2024-06-03,1st Class,175,171
2024-06-03,2nd Class,1036,1017
2024-06-03,3rd Class,2275,2252
2024-06-04,1st Class,297,327
2024-06-04,2nd Class,1768,1910
2024-06-04,3rd Class,3787,4057
2024-06-05,1st Class,375,399
2024-06-05,2nd Class,2273,2340
2024-06-05,3rd Class,4831,5209
2024-06-06,1st Class,325,317
2024-06-06,2nd Class,1934,1919
2024-06-06,3rd Class,4185,4164
2024-06-07,1st Class,196,168
2024-06-07,2nd Class,1176,1020
2024-06-07,3rd Class,2554,2181
2024-06-08,1st Class,235,240
2024-06-08,2nd Class,1413,1394
2024-06-08,3rd Class,3085,3111
2024-06-09,1st Class,272,279
2024-06-09,2nd Class,1647,1673
2024-06-09,3rd Class,3541,3663
2024-06-10,1st Class,387,404
2024-06-10,2nd Class,2310,2432
2024-06-10,3rd Class,5093,5352
2024-06-11,1st Class,301,315
2024-06-11,2nd Class,1787,1933
2024-06-11,3rd Class,3933,4052
2024-06-12,1st Class,380,365
2024-06-12,2nd Class,2293,2224
2024-06-12,3rd Class,4993,4847
2024-06-13,1st Class,241,245
2024-06-13,2nd Class,1454,1473
2024-06-13,3rd Class,3100,3178
2024-06-14,1st Class,209,215
2024-06-14,2nd Class,1289,1278
2024-06-14,3rd Class,2788,2833
2024-06-15,1st Class,324,341
2024-06-15,2nd Class,1993,2069
2024-06-15,3rd Class,4255,4476
2024-06-16,1st Class,327,349
2024-06-16,2nd Class,2011,2083
2024-06-16,3rd Class,4291,4568
2024-06-17,1st Class,313,323
2024-06-17,2nd Class,1899,1937
2024-06-17,3rd Class,4117,4176
2024-06-18,1st Class,300,309
2024-06-18,2nd Class,1805,1862
2024-06-18,3rd Class,3925,4139
2024-06-19,1st Class,219,217
2024-06-19,2nd Class,1307,1322
2024-06-19,3rd Class,2850,2849
2024-06-20,1st Class,314,302
2024-06-20,2nd Class,1881,1781
2024-06-20,3rd Class,4042,3855
2024-06-21,1st Class,355,336
2024-06-21,2nd Class,2193,2036
2024-06-21,3rd Class,4679,4544
2024-06-22,1st Class,294,293
2024-06-22,2nd Class,1801,1748
2024-06-22,3rd Class,3851,3796
2024-06-23,1st Class,257,266
2024-06-23,2nd Class,1566,1579
2024-06-23,3rd Class,3381,3489
2024-06-24,1st Class,366,388
2024-06-24,2nd Class,2208,2309
2024-06-24,3rd Class,4831,5023
2024-06-25,1st Class,386,388
2024-06-25,2nd Class,2368,2421
2024-06-25,3rd Class,5128,5203
2024-06-26,1st Class,158,152
2024-06-26,2nd Class,977,936
2024-06-26,3rd Class,2073,2003
2024-06-27,1st Class,214,228
2024-06-27,2nd Class,1283,1387
2024-06-27,3rd Class,2777,3011
2024-06-28,1st Class,271,254
2024-06-28,2nd Class,1616,1559
2024-06-28,3rd Class,3523,3345
2024-06-29,1st Class,170,165
2024-06-29,2nd Class,1031,992
2024-06-29,3rd Class,2178,2060
2024-06-30,1st Class,209,214
2024-06-30,2nd Class,1277,1295
2024-06-30,3rd Class,2766,2800
2024-07-01,1st Class,402,399
2024-07-01,2nd Class,2416,2428
2024-07-01,3rd Class,5309,5334
2024-07-02,1st Class,280,290
2024-07-02,2nd Class,1716,1752
2024-07-02,3rd Class,3671,3806
2024-07-03,1st Class,216,217
2024-07-03,2nd Class,1325,1304
2024-07-03,3rd Class,2822,2843
2024-07-04,1st Class,167,186
2024-07-04,2nd Class,1013,1104
2024-07-04,3rd Class,2176,2424
2024-07-05,1st Class,284,263
2024-07-05,2nd Class,1749,1590
2024-07-05,3rd Class,3717,3527
2024-07-06,1st Class,212,223
2024-07-06,2nd Class,1267,1357
2024-07-06,3rd Class,2784,2988
2024-07-07,1st Class,282,283
2024-07-07,2nd Class,1689,1684
2024-07-07,3rd Class,3671,3618
2024-07-08,1st Class,270,300
2024-07-08,2nd Class,1639,1867
2024-07-08,3rd Class,3551,3894
2024-07-09,1st Class,314,332
2024-07-09,2nd Class,1930,1993
2024-07-09,3rd Class,4126,4384
2024-07-10,1st Class,273,282
2024-07-10,2nd Class,1635,1773
2024-07-10,3rd Class,3547,3740
2024-07-11,1st Class,319,318
2024-07-11,2nd Class,1955,1944
2024-07-11,3rd Class,4262,4229
2024-07-12,1st Class,278,263
2024-07-12,2nd Class,1683,1596
2024-07-12,3rd Class,3628,3501
2024-07-13,1st Class,348,371
2024-07-13,2nd Class,2106,2202
2024-07-13,3rd Class,4541,4841
2024-07-14,1st Class,238,261
2024-07-14,2nd Class,1446,1538
2024-07-14,3rd Class,3143,3382
2024-07-15,1st Class,389,399
2024-07-15,2nd Class,2337,2427
2024-07-15,3rd Class,5140,5255
2024-07-16,1st Class,335,331
2024-07-16,2nd Class,2017,2072
2024-07-16,3rd Class,4426,4425
2024-07-17,1st Class,344,331
2024-07-17,2nd Class,2077,1949
2024-07-17,3rd Class,4420,4333
2024-07-18,1st Class,245,243
2024-07-18,2nd Class,1492,1488
2024-07-18,3rd Class,3193,3150
2024-07-19,1st Class,302,291
2024-07-19,2nd Class,1843,1784
2024-07-19,3rd Class,3936,3884
2024-07-20,1st Class,296,273
2024-07-20,2nd Class,1811,1604
2024-07-20,3rd Class,3839,3571
2024-07-21,1st Class,369,395
2024-07-21,2nd Class,2187,2355
2024-07-21,3rd Class,4791,5067
2024-07-22,1st Class,302,316
2024-07-22,2nd Class,1811,1923
2024-07-22,3rd Class,3921,4167
2024-07-23,1st Class,268,281
2024-07-23,2nd Class,1618,1616
2024-07-23,3rd Class,3503,3709
2024-07-24,1st Class,353,385
2024-07-24,2nd Class,2162,2360
2024-07-24,3rd Class,4707,5071
2024-07-25,1st Class,502,510
2024-07-25,2nd Class,3021,3070
2024-07-25,3rd Class,6480,6685
2024-07-26,1st Class,493,452
2024-07-26,2nd Class,2963,2753
2024-07-26,3rd Class,6456,5791
2024-07-27,1st Class,355,368
2024-07-27,2nd Class,2162,2189
2024-07-27,3rd Class,4616,4855
2024-07-28,1st Class,476,447
2024-07-28,2nd Class,2848,2666
2024-07-28,3rd Class,6187,5789
2024-07-29,1st Class,313,357
2024-07-29,2nd Class,1928,2190
2024-07-29,3rd Class,4127,4628
2024-07-30,1st Class,214,247
2024-07-30,2nd Class,1319,1477
2024-07-30,3rd Class,2801,3175
2024-07-31,1st Class,166,157
2024-07-31,2nd Class,1016,930
2024-07-31,3rd Class,2213,2046
2024-08-01,1st Class,257,278
2024-08-01,2nd Class,1562,1634
2024-08-01,3rd Class,3358,3508
2024-08-02,1st Class,201,199
2024-08-02,2nd Class,1210,1224
2024-08-02,3rd Class,2614,2586
2024-08-03,1st Class,316,330
2024-08-03,2nd Class,1923,2050
2024-08-03,3rd Class,4157,4346
2024-08-04,1st Class,360,380
2024-08-04,2nd Class,2174,2312
2024-08-04,3rd Class,4713,5010
2024-08-05,1st Class,241,263
2024-08-05,2nd Class,1435,1577
2024-08-05,3rd Class,3126,3486
2024-08-06,1st Class,297,329
2024-08-06,2nd Class,1774,1955
2024-08-06,3rd Class,3942,4161
2024-08-07,1st Class,233,266
2024-08-07,2nd Class,1441,1614
2024-08-07,3rd Class,3017,3461
2024-08-08,1st Class,326,346
2024-08-08,2nd Class,1993,2048
2024-08-08,3rd Class,4267,4576
2024-08-09,1st Class,110,108
2024-08-09,2nd Class,673,645
2024-08-09,3rd Class,1443,1431
2024-08-10,1st Class,252,269
2024-08-10,2nd Class,1545,1646
2024-08-10,3rd Class,3303,3552
2024-08-11,1st Class,263,271
2024-08-11,2nd Class,1574,1695
2024-08-11,3rd Class,3412,3579
2024-08-12,1st Class,250,286
2024-08-12,2nd Class,1521,1737
2024-08-12,3rd Class,3281,3691
2024-08-13,1st Class,274,288
2024-08-13,2nd Class,1652,1723
2024-08-13,3rd Class,3596,3726
2024-08-14,1st Class,250,272
2024-08-14,2nd Class,1496,1614
2024-08-14,3rd Class,3212,3483
2024-08-15,1st Class,182,199
2024-08-15,2nd Class,1097,1208
2024-08-15,3rd Class,2354,2591
2024-08-16,1st Class,239,237
2024-08-16,2nd Class,1398,1398
2024-08-16,3rd Class,3051,2952
2024-08-17,1st Class,134,145
2024-08-17,2nd Class,831,859
2024-08-17,3rd Class,1780,1865
2024-08-18,1st Class,181,186
2024-08-18,2nd Class,1100,1128
2024-08-18,3rd Class,2394,2453
2024-08-19,1st Class,327,320
2024-08-19,2nd Class,1930,1955
2024-08-19,3rd Class,4203,4268
2024-08-20,1st Class,249,273
2024-08-20,2nd Class,1509,1658
2024-08-20,3rd Class,3273,3598
2024-08-21,1st Class,229,261
2024-08-21,2nd Class,1388,1531
2024-08-21,3rd Class,2972,3369
2024-08-22,1st Class,241,284
2024-08-22,2nd Class,1466,1700
2024-08-22,3rd Class,3143,3655
2024-08-23,1st Class,239,251
2024-08-23,2nd Class,1455,1523
2024-08-23,3rd Class,3139,3359
2024-08-24,1st Class,251,260
2024-08-24,2nd Class,1496,1564
2024-08-24,3rd Class,3250,3452
2024-08-25,1st Class,236,254
2024-08-25,2nd Class,1438,1560
2024-08-25,3rd Class,3090,3326
2024-08-26,1st Class,277,314
2024-08-26,2nd Class,1692,1842
2024-08-26,3rd Class,3618,4003
2024-08-27,1st Class,412,430
2024-08-27,2nd Class,2511,2583
2024-08-27,3rd Class,5438,5611
2024-08-28,1st Class,288,309
2024-08-28,2nd Class,1734,1905
2024-08-28,3rd Class,3725,4102
2024-08-29,1st Class,342,388
2024-08-29,2nd Class,2068,2371
2024-08-29,3rd Class,4429,5121
2024-08-30,1st Class,386,383
2024-08-30,2nd Class,2321,2309
2024-08-30,3rd Class,5077,5111
2024-08-31,1st Class,376,408
2024-08-31,2nd Class,2310,2487
2024-08-31,3rd Class,4901,5383
2024-09-01,1st Class,235,239
2024-09-01,2nd Class,1402,1460
2024-09-01,3rd Class,3036,3100
2024-09-02,1st Class,430,431
2024-09-02,2nd Class,2625,2585
2024-09-02,3rd Class,5660,5486
2024-09-03,1st Class,215,218
2024-09-03,2nd Class,1337,1341
2024-09-03,3rd Class,2840,2829
2024-09-04,1st Class,361,349
2024-09-04,2nd Class,2220,2097
2024-09-04,3rd Class,4673,4631
2024-09-05,1st Class,246,242
2024-09-05,2nd Class,1480,1519
2024-09-05,3rd Class,3185,3253
2024-09-06,1st Class,296,310
2024-09-06,2nd Class,1770,1863
2024-09-06,3rd Class,3832,4058
2024-09-07,1st Class,404,419
2024-09-07,2nd Class,2451,2528
2024-09-07,3rd Class,5202,5383
2024-09-08,1st Class,344,344
2024-09-08,2nd Class,2046,2079
2024-09-08,3rd Class,4382,4495
2024-09-09,1st Class,201,242
2024-09-09,2nd Class,1209,1449
2024-09-09,3rd Class,2673,3021
2024-09-10,1st Class,292,309
2024-09-10,2nd Class,1789,1792
2024-09-10,3rd Class,3936,3923
2024-09-11,1st Class,231,225
2024-09-11,2nd Class,1407,1390
2024-09-11,3rd Class,3007,3044
2024-09-12,1st Class,277,302
2024-09-12,2nd Class,1681,1848
2024-09-12,3rd Class,3627,3991
2024-09-13,1st Class,208,196
2024-09-13,2nd Class,1267,1178
2024-09-13,3rd Class,2688,2566
2024-09-14,1st Class,149,161
2024-09-14,2nd Class,922,954
2024-09-14,3rd Class,1973,2059
2024-09-15,1st Class,246,251
2024-09-15,2nd Class,1465,1492
2024-09-15,3rd Class,3102,3246
2024-09-16,1st Class,233,262
