record_id,date,year,month,day_of_week,day_type,is_public_holiday,holiday_name,is_covid_lockdown_period,origin_station,destination_station,line_name,distance_km,train_type,class,seat_capacity,tickets_sold,seat_utilization_pct,fare_lkr,revenue_lkr,delay_minutes
22,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,1st Class,37,37,100.0,1099.72,40689.64,5
23,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,2nd Class,225,225,100.0,594.43,133746.75,5
24,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,3rd Class,487,487,100.0,310.07,151004.09,3
25,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,1st Class,25,25,100.0,1348.37,33709.25,8
26,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,2nd Class,150,150,100.0,740.28,111042.0,17
27,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,3rd Class,325,263,80.92,368.49,96912.87,47
28,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,1st Class,37,36,97.3,2507.34,90264.24,10
29,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,2nd Class,225,185,82.22,1288.3,238335.5,11
30,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Colombo Fort,Anuradhapura,Northern Line,205,Intercity,3rd Class,487,338,69.4,639.86,216272.68,0
31,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,1st Class,25,25,100.0,1979.79,49494.75,68
32,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,2nd Class,150,150,100.0,1082.55,162382.5,11
33,2020-01-01,2020,1,Wednesday,Weekday,1,New Year's Day,0,Kandy,Badulla,Main Line,171,Slow/Local,3rd Class,325,325,100.0,573.77,186475.25,15
34,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,1st Class,25,20,80.0,1401.28,28025.6,0
35,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,2nd Class,150,113,75.33,814.68,92058.84,0
36,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,3rd Class,325,263,80.92,381.34,100292.42,1
37,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,1st Class,32,19,59.38,1214.15,23068.85,12
38,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,2nd Class,195,102,52.31,659.22,67240.44,17
39,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Night Mail,3rd Class,422,226,53.55,312.69,70667.94,8
40,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Night Mail,1st Class,32,28,87.5,3126.12,87531.36,11
41,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Night Mail,2nd Class,195,100,51.28,1646.27,164627.0,16
42,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Night Mail,3rd Class,422,261,61.85,860.94,224705.34,12
43,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,1st Class,32,25,78.12,3258.14,81453.5,0
44,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,2nd Class,195,173,88.72,1698.0,293754.0,19
45,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,3rd Class,422,277,65.64,849.99,235447.23,7
46,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Jaffna,Northern Line,396,Intercity,1st Class,37,28,75.68,4856.99,135995.72,4
47,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Jaffna,Northern Line,396,Intercity,2nd Class,225,154,68.44,2576.27,396745.58,0
48,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Jaffna,Northern Line,396,Intercity,3rd Class,487,434,89.12,1265.52,549235.68,15
49,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,1st Class,37,21,56.76,1947.86,40905.06,16
50,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,2nd Class,225,149,66.22,1047.49,156076.01,11
51,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,3rd Class,487,218,44.76,537.32,117135.76,0
52,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,22,88.0,3444.69,75783.18,5
53,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,104,69.33,1989.17,206873.68,5
54,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,180,55.38,933.02,167943.6,3
55,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,1st Class,37,30,81.08,3241.65,97249.5,0
56,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,2nd Class,225,127,56.44,1653.63,210011.01,21
57,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,3rd Class,487,239,49.08,846.11,202220.29,0
58,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,1st Class,37,26,70.27,2977.96,77426.96,77
59,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,2nd Class,225,181,80.44,1708.75,309283.75,17
60,2020-01-02,2020,1,Thursday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,3rd Class,487,286,58.73,818.49,234088.14,14
61,2020-01-02,2020,1,Thursday,Weekday,0,,0,Kandy,Badulla,Main Line,171,Slow/Local,1st Class,25,11,44.0,2044.94,22494.34,0
62,2020-01-02,2020,1,Thursday,Weekday,0,,0,Kandy,Badulla,Main Line,171,Slow/Local,2nd Class,150,66,44.0,1060.08,69965.28,11
63,2020-01-02,2020,1,Thursday,Weekday,0,,0,Kandy,Badulla,Main Line,171,Slow/Local,3rd Class,325,194,59.69,526.79,102197.26,23
64,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Night Mail,1st Class,32,32,100.0,2347.1,75107.2,9
65,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Night Mail,2nd Class,195,162,83.08,1365.02,221133.24,0
66,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Night Mail,3rd Class,422,350,82.94,668.37,233929.5,2
67,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Night Mail,1st Class,32,26,81.25,1870.04,48621.04,9
68,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Night Mail,2nd Class,195,189,96.92,1033.31,195295.59,13
69,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Night Mail,3rd Class,422,249,59.0,515.38,128329.62,1
70,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,1st Class,37,37,100.0,3007.09,111262.33,60
71,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,2nd Class,225,195,86.67,1679.03,327410.85,5
72,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Vavuniya,Northern Line,259,Intercity,3rd Class,487,461,94.66,840.0,387240.0,0
73,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,1st Class,37,35,94.59,696.22,24367.7,12
74,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,2nd Class,225,136,60.44,382.37,52002.32,78
75,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Intercity,3rd Class,487,487,100.0,187.0,91069.0,23
76,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,1st Class,37,37,100.0,1898.13,70230.81,0
77,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,2nd Class,225,225,100.0,1008.36,226881.0,3
78,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,3rd Class,487,487,100.0,487.59,237456.33,10
79,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Negombo,Main Line,37,Intercity,1st Class,37,23,62.16,452.74,10413.02,16
80,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Negombo,Main Line,37,Intercity,2nd Class,225,225,100.0,235.26,52933.5,11
81,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Negombo,Main Line,37,Intercity,3rd Class,487,487,100.0,122.03,59428.61,7
82,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,1st Class,25,19,76.0,1264.21,24019.99,9
83,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,2nd Class,150,124,82.67,672.97,83448.28,3
84,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,3rd Class,325,285,87.69,333.75,95118.75,10
85,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,1st Class,25,20,80.0,1323.91,26478.2,11
86,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,2nd Class,150,138,92.0,763.94,105423.72,6
87,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Galle,Coastal Line,116,Slow/Local,3rd Class,325,242,74.46,364.84,88291.28,19
88,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Slow/Local,1st Class,25,15,60.0,2458.63,36879.45,15
89,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Slow/Local,2nd Class,150,135,90.0,1324.71,178835.85,4
90,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Slow/Local,3rd Class,325,211,64.92,673.16,142036.76,16
91,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,1st Class,45,27,60.0,3268.39,88246.53,3
92,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,2nd Class,270,270,100.0,1713.68,462693.6,10
93,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,3rd Class,585,585,100.0,892.61,522176.85,0
94,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Slow/Local,1st Class,25,20,80.0,1998.02,39960.4,5
95,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Slow/Local,2nd Class,150,130,86.67,989.18,128593.4,1
96,2020-01-03,2020,1,Friday,Weekday,0,,0,Colombo Fort,Matara,Coastal Line,160,Slow/Local,3rd Class,325,206,63.38,519.64,107045.84,7
97,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,1st Class,25,25,100.0,687.29,17182.25,14
98,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,2nd Class,150,150,100.0,358.61,53791.5,3
99,2020-01-03,2020,1,Friday,Weekday,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,3rd Class,325,191,58.77,192.86,36836.26,10
100,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Galle,Coastal Line,116,Night Mail,1st Class,32,29,90.62,1375.88,39900.52,8
101,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Galle,Coastal Line,116,Night Mail,2nd Class,195,195,100.0,788.59,153775.05,6
102,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Galle,Coastal Line,116,Night Mail,3rd Class,422,299,70.85,358.94,107323.06,1
103,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,1st Class,37,24,64.86,1875.06,45001.44,0
104,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,2nd Class,225,120,53.33,1017.1,122052.0,0
105,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Matara,Coastal Line,160,Intercity,3rd Class,487,420,86.24,500.27,210113.4,6
106,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,1st Class,32,18,56.25,3909.93,70378.74,14
107,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,2nd Class,195,119,61.03,2022.89,240723.91,6
108,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,3rd Class,422,309,73.22,1029.88,318232.92,23
109,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,21,84.0,3351.05,70372.05,11
110,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,150,100.0,1914.16,287124.0,27
111,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,309,95.08,922.99,285203.91,0
112,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,1st Class,37,23,62.16,1257.84,28930.32,1
113,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,2nd Class,225,122,54.22,641.31,78239.82,7
114,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,3rd Class,487,484,99.38,316.99,153423.16,3
115,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,1st Class,32,18,56.25,3877.96,69803.28,2
116,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,2nd Class,195,188,96.41,2069.44,389054.72,33
117,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,3rd Class,422,422,100.0,1016.58,428996.76,8
118,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,1st Class,25,14,56.0,1484.87,20788.18,10
119,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,2nd Class,150,116,77.33,818.78,94978.48,10
120,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Kandy,Main Line,121,Slow/Local,3rd Class,325,317,97.54,385.63,122244.71,0
121,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,1st Class,25,13,52.0,423.84,5509.92,0
122,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,2nd Class,150,127,84.67,236.69,30059.63,20
123,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,3rd Class,325,254,78.15,119.4,30327.6,24
124,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,1st Class,25,18,72.0,1257.37,22632.66,0
125,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,2nd Class,150,150,100.0,663.19,99478.5,14
126,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,3rd Class,325,233,71.69,308.07,71780.31,2
127,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,1st Class,37,26,70.27,1259.78,32754.28,4
128,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,2nd Class,225,128,56.89,655.26,83873.28,0
129,2020-01-04,2020,1,Saturday,Weekend,0,,0,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,3rd Class,487,395,81.11,312.11,123283.45,9
130,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,1st Class,25,25,100.0,444.52,11113.0,8
131,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,2nd Class,150,90,60.0,239.24,21531.6,0
132,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Slow/Local,3rd Class,325,249,76.62,112.72,28067.28,10
133,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Express,1st Class,45,33,73.33,1085.11,35808.63,10
134,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Express,2nd Class,270,270,100.0,610.9,164943.0,17
135,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Express,3rd Class,585,504,86.15,303.41,152918.64,3
136,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,1st Class,37,28,75.68,1582.76,44317.28,23
137,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,2nd Class,225,169,75.11,886.11,149752.59,0
138,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,3rd Class,487,307,63.04,405.43,124467.01,13
139,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Express,1st Class,45,31,68.89,2379.65,73769.15,0
140,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Express,2nd Class,270,163,60.37,1318.89,214979.07,14
141,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Anuradhapura,Northern Line,205,Express,3rd Class,585,585,100.0,676.8,395928.0,0
142,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Night Mail,1st Class,32,27,84.38,447.18,12073.86,2
143,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Night Mail,2nd Class,195,195,100.0,232.97,45429.15,0
144,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Night Mail,3rd Class,422,289,68.48,113.84,32899.76,0
145,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,1st Class,37,32,86.49,3093.26,98984.32,35
146,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,2nd Class,225,166,73.78,1672.05,277560.3,0
147,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,3rd Class,487,487,100.0,839.22,408700.14,1
148,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,22,88.0,3494.04,76868.88,15
149,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,112,74.67,1979.52,221706.24,11
150,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,210,64.62,893.89,187716.9,1
151,2020-01-05,2020,1,Sunday,Weekend,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,1st Class,25,25,100.0,670.93,16773.25,2
152,2020-01-05,2020,1,Sunday,Weekend,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,2nd Class,150,95,63.33,388.86,36941.7,13
153,2020-01-05,2020,1,Sunday,Weekend,0,,0,Maradana,Avissawella,Kelani Valley Line,58,Slow/Local,3rd Class,325,277,85.23,182.98,50685.46,5
154,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,1st Class,37,28,75.68,1123.79,31466.12,17
155,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,2nd Class,225,222,98.67,611.17,135679.74,11
156,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Kurunegala,Northern Line,94,Intercity,3rd Class,487,421,86.45,313.03,131785.63,5
157,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Express,1st Class,45,45,100.0,449.67,20235.15,0
158,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Express,2nd Class,270,246,91.11,241.3,59359.8,3
159,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Negombo,Main Line,37,Express,3rd Class,585,585,100.0,114.28,66853.8,0
160,2020-01-05,2020,1,Sunday,Weekend,0,,0,Kandy,Badulla,Main Line,171,Express,1st Class,45,39,86.67,2105.86,82128.54,0
161,2020-01-05,2020,1,Sunday,Weekend,0,,0,Kandy,Badulla,Main Line,171,Express,2nd Class,270,201,74.44,1147.21,230589.21,5
162,2020-01-05,2020,1,Sunday,Weekend,0,,0,Kandy,Badulla,Main Line,171,Express,3rd Class,585,368,62.91,532.38,195915.84,0
163,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,1st Class,25,23,92.0,3266.14,75121.22,0
164,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,2nd Class,150,97,64.67,1806.39,175219.83,10
165,2020-01-05,2020,1,Sunday,Weekend,0,,0,Colombo Fort,Trincomalee,Trincomalee Line,267,Slow/Local,3rd Class,325,253,77.85,851.15,215340.95,9
